artist,album,track_name,track_id,danceability,energy,loudness,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,genre
Ayu Ting Ting,Yang Sudah Ya Sudahlah,Yang Sudah Ya Sudahlah,1P8oOaTWncKSm84nXApIdU,0.682,0.896,-5.873,0.0454,0.0116,0.277,0.77,144.979,200449,dangdut
Slank,Slank Since 1983,I Miss U but I Hate U,1oNC53QzqAMEQuGguxJSri,0.39,0.779,-4.775,0.0477,0,0.322,0.646,92.698,275093,classic indonesian rock
Pinkan Mambo,Wanita Terindah,Merindunya,7AsqQa4Yif7iWkp9LlqrRs,0.346,0.426,-6.335,0.0284,1.10E-05,0.127,0.168,135.731,234173,dangdut
Cita Citata,Goyang Dumang,Aku Mah Apa Atuh,3jwnfpA2yBbQqLbIonWKuO,0.709,0.813,-8.912,0.0335,0.00703,0.13,0.949,140.005,210912,dangdut
Jamrud,Ningrat,Pelangi Di Matamu,4IgaskcsffuOR4EH2aiYP9,0.41,0.315,-7.764,0.0291,0,0.105,0.205,127.92,329200,classic indonesian rock
Kotak,Terbaik,TInggalkan Saja,6IOLJNLMUou1XmDRCwQswE,0.521,0.703,-3.89,0.0386,0,0.0703,0.245,170.007,234720,classic indonesian rock
Wali,Aku Bukan Bang Toyib,Nenekku Pahlawanku,0O4deQeDLOk7gfpTXx7Nk5,0.737,0.751,-5.296,0.0288,0,0.348,0.949,121.959,255676,dangdut
Tere,Begitu Berharga,Dosa Termanis,7LIk2XYWCV4Xqfp1F48HIX,0.628,0.582,-6.957,0.0248,0.000236,0.0953,0.267,82.473,241733,classic indonesian rock
Gigi,Mohon Ampun,Pintu Sorga,4KBVCZT5D3olLHga1rpZqA,0.604,0.905,-4.855,0.0415,2.45E-01,0.0884,0.826,122.061,211500,classic indonesian rock
Wali,Orang Bilang,Dik,414GLtJjwva1WhFQOj5fYc,0.52,0.41,-7.403,0.0265,1.69E-06,0.124,0.17,129.966,273801,dangdut
Dewa 19,Terbaik Terbaik,Cinta 'Kan Membawamu Kembali,6MwIBSBiAMGomp4I80Xkgw,0.545,0.185,-13.39,0.0451,0.0174,0.099,0.259,139.515,259333,classic indonesian rock
Iwan Fals,Sarjana Muda,Yang Terlupakan,5M8mDTrtoPYE0MjOpaWzc8,0.37,0.514,-5.479,0.0302,0.00115,0.283,0.17,126.978,295947,classic indonesian rock
Barasuara,Bangkit Dan Berlari,Bangkit Dan Berlari - Instrumental,3uiyzc0WdwqEXUO3ngIMtS,0.57,0.721,-6.847,0.0287,0.922,0.333,0.142,100.031,274055,indonesian indie
Vina Panduwinata,Terbaik 1981 - 2006,Aku Makin Cinta,4Fx054uhsprmryvlfnr8hn,0.353,0.329,-11.758,0.0383,0.00426,0.106,0.125,69.314,230067,dangdut
Zaskia Gotik,Gotik,1 Jam,17bR926tPCBUvkB4jo9rWT,0.628,0.897,-7.082,0.0341,0.0157,0.42,0.926,159.973,242004,dangdut
Kotak,Terbaik,Pelan Pelan Saja,7gIoGYwIE7103MbNvCyCgU,0.624,0.351,-7.634,0.0325,6.44E-06,0.0614,0.279,75.958,239517,classic indonesian rock
Padi,The Singles,Harmony,49qbm2yG8cWqoM1Oxe0lhP,0.265,0.371,-6.933,0.0308,1.00E-05,0.128,0.274,83.11,295147,classic indonesian rock
Cokelat,Rasa Baru (Re-package),Bendera,0BsTURzR1eWY6GXAKSqyVW,0.545,0.862,-7.754,0.0608,8.60E-05,0.0693,0.713,155.9,247787,classic indonesian rock
Barasuara,Pikiran dan Perjalanan,Haluan,7dBKBJAbeZNN6XQA98LPfn,0.554,0.87,-6.321,0.0379,0.0048,0.0582,0.227,97.475,191704,indonesian indie
Iis Dahlia,Terlalu Tampan,Terlalu Tampan,4aI2zr32CU0X55QXTKk3lQ,0.636,0.612,-5.474,0.0323,3.15E-06,0.187,0.584,119.993,211000,dangdut
Radja,Langkah Baru,Jujur,3VdmpcvhuYbBSqoqr3izdt,0.574,0.799,-8.42,0.0414,5.48E-05,0.17,0.621,151.572,292943,dangdut
Barasuara,Pikiran dan Perjalanan,Tentukan Arah,3ZXQ7UmYQfcNPG9DMHkpJR,0.222,0.541,-8.457,0.0368,0.0214,0.123,0.26,179.932,274186,indonesian indie
Via Vallen,Selow,Selow,0C0qskYuGjtQmW8dCtMNjy,0.737,0.502,-7.309,0.0646,3.57E-06,0.169,0.643,160.079,227486,dangdut
TIC Band,Terbaik Untukmu,Terbaik Untukmu,7tIQFJVJCiC1OPNOnpFK21,0.51,0.791,-6.819,0.0514,0,0.182,0.506,82.985,280160,classic indonesian rock
Dewa,Bintang Lima,Separuh Nafas,0uxMIFFrGMKlx5wpHAUJsk,0.59,0.836,-7.742,0.0361,2.04E-05,0.261,0.671,99.797,300533,classic indonesian rock
Andra & The Backbone,Andra and the Backbone,Sempurna,7yyDYbyS8DVawBsYCEzGCg,0.313,0.32,-9.952,0.0292,0,0.105,0.395,98.046,268423,classic indonesian rock
Rif,Radja,Radja,5gpqDeNLrBTbT5x1RUOxbP,0.482,0.948,-5.822,0.0413,0.282,0.105,0.825,150.067,280173,classic indonesian rock
Naif,The Best,Jikalau,4fBFN8NLLIbvw6JzaiD2hp,0.626,0.684,-8.096,0.0295,0,0.0908,0.718,120.375,186933,indonesian indie
Mocca,My Diary,Once Upon a Time / Secret Admirer,2DYPAPFBnfCmqGptN6kRgH,0.659,0.42,-10.347,0.0364,1.10E-06,0.0885,0.336,116.146,240587,indonesian indie
Cokelat,Segitiga,Segitiga,3FEtQaakW0R6b5KPxN7v2n,0.519,0.822,-7.508,0.0537,0.00146,0.0495,0.552,151.838,219613,classic indonesian rock
Dewa,Bintang Lima,Roman Picisan,2a9UQRKzLgWQGf4sL5XXXm,0.377,0.797,-7.522,0.061,0,0.33,0.521,159.287,242707,classic indonesian rock
Nugie,Air,Burung Gereja,2vkCBcgqkGZniZmlAzi8JF,0.41,0.281,-11.081,0.0343,0,0.0918,0.368,115.07,324147,classic indonesian rock
Padi,90's Hits Best Indonesian Bands,Dahulu,7IPR5SrzCw7MLaaB1qSNpF,0.643,0.91,-4.071,0.0893,0.000184,0.192,0.762,110.117,229000,classic indonesian rock
Wali,Cari Jodoh,Yank,3RR5OgrNTOsjmUmkQ1ocuK,0.582,0.867,-3.175,0.0301,0,0.0145,0.462,130.044,275571,dangdut
Ayu Ting Ting,Best of Ayu Ting Ting,Sik Asik,1HqqBAoA2Qfm3MRNk9XymJ,0.711,0.831,-5.521,0.0389,0,0.0586,0.965,146.972,233253,dangdut
Iwan Fals,In Love,Kemesraan,134wQxxKYEk27nTgSoGzGz,0.618,0.533,-9.783,0.0254,2.81E-05,0.189,0.381,88.116,311453,classic indonesian rock
Vina Panduwinata,Terbaik 1981 - 2006,Didadaku Ada Kamu,3c1rIDkyjLOeZTL1pFvPAl,0.629,0.276,-10.341,0.152,0.0823,0.0829,0.421,118.841,223133,dangdut
Dewa,Bintang Lima,Hidup Adalah Perjuangan,4DwtjWgoWRqfV4Lr0zICGP,0.441,0.923,-6.507,0.0384,0,0.363,0.766,126.742,207427,classic indonesian rock
Ayu Ting Ting,Geregetan,Geregetan,76VjmDPqkSUdMjFTr9lsxt,0.864,0.893,-5.055,0.0538,0.00106,0.0775,0.662,121.97,207827,dangdut
Ecoutez,Positive,Maafkan (Tak Sempurna),4vmLCwIH2r5r04aw5qRX4c,0.667,0.199,-10.409,0.0518,0,0.157,0.668,163.652,238813,indonesian indie
Dewa 19,The Best of Dewa 19,Kamulah Satu - Satunya,6pCfc6xxUXYBWLMQhIWDmh,0.428,0.711,-8.114,0.0373,0,0.125,0.624,73.984,241267,classic indonesian rock
Ecoutez,Love - Live - Life,Percayalah,7u0nGHgHQW8JPz7MtqCcGi,0.6,0.412,-7.093,0.0364,1.81E-05,0.0786,0.251,140.013,270305,indonesian indie
Cita Citata,Sakitnya Tuh Disini,Sakitnya Tuh Disini,3YSqJtGNp6ioAmcSSHMhj9,0.761,0.949,-5.498,0.0371,3.68E-05,0.309,0.966,129.988,196048,dangdut
Wali,Orang Bilang,Egokah Aku,6rebIfsxrAUujuueAcUMxF,0.443,0.294,-10.018,0.0278,0,0.308,0.0708,129.972,236880,dangdut
Astrid,Terpukau,Terpukau,0irPA8LmsoQYkqE5I7v3aj,0.471,0.434,-5.07,0.0274,3.01E-05,0.115,0.14,129.749,252093,dangdut
Inka Christie,Nyanyian Suara Hati,Nyanyian Suara Hati,7pE57PAPg9JzNnF5FXBf4n,0.315,0.571,-6.288,0.0274,1.75E-05,0.104,0.148,174.89,337133,dangdut
Barasuara,Taifun,Sendu Melagu,0mD2oRksOCjlfqr3snU96p,0.673,0.703,-7.061,0.032,0.434,0.217,0.435,140.965,247583,indonesian indie
Java Jive,Kau Yang Terindah,Kau Yang Terindah,6h9KzdPvqmGBd9xYCmDtNl,0.572,0.697,-5.736,0.0325,0,0.114,0.378,140.282,186267,classic indonesian rock
Tere,Awal Yang Indah,Awal Yang Indah,0qFTsoQQFDHGjrgtBJExta,0.323,0.576,-5.677,0.0301,1.89E-06,0.128,0.388,159.839,260267,classic indonesian rock
Andra & The Backbone,Season 2,Hitamku,15JVbBUeP5fSTUPW1b8ALn,0.714,0.69,-6.625,0.0306,0.000774,0.133,0.96,119.98,266890,classic indonesian rock
Zaskia Gotik,Gotik,Sudah Cukup Sudah,1LjJeMVul5vZt0fBn2F8cH,0.619,0.783,-7.315,0.0302,0.122,0.175,0.897,159.974,244725,dangdut
Tere,Sebuah Harapan,Mengapa Ini Yang Terjadi (feat. Valent),5YugYZ5nkaQUJLjWP1IpmM,0.352,0.349,-8.942,0.0275,8.49E-05,0.148,0.275,139.781,238187,classic indonesian rock
Manis Manja,Best of the Best: Manis Manja,Bete,2von6AR0reGlFTjvy8k9X0,0.669,0.966,-5.363,0.0366,0.218,0.13,0.657,99.997,207877,dangdut
Andra & The Backbone,Season 2,Main Hati,2qQVSzHh1kl1WB2PqrnFj5,0.577,0.639,-5.26,0.0255,0.000217,0.175,0.462,157.991,238933,classic indonesian rock
Padi,Sesuatu Yang Tertunda,Semua Tak Sama,4DSOQ3kfCw70iWDswduLGN,0.511,0.658,-6.864,0.0368,0,0.126,0.433,152.033,339307,classic indonesian rock
Wali,Cari Jodoh,Cari Jodoh,2uNmlrA4pmPokSeVVRdkWe,0.677,0.926,-3.765,0.0294,0,0.184,0.759,117.056,251506,dangdut
Petra Sihombing,Mine,Istimewa,4PregcZBAcPwk6qpCcLn5t,0.663,0.541,-7.035,0.0597,0,0.285,0.797,119.875,216053,indonesian indie
Ebiet G. Ade,Masih Ada Waktu,Berita Kepada Kawan,15oVjL0H6IGFXQNhDVRmsY,0.547,0.421,-7.485,0.0294,0,0.235,0.37,143.644,342120,dangdut
Naif,Naif,Mobil Balap,3jEWkPovJFF6UiJv6MBUAm,0.746,0.657,-9.125,0.0294,0.122,0.236,0.844,126.989,219333,indonesian indie
Dewa,Bintang Lima,Cemburu,4huqghnepsIzBA01HfaAG3,0.419,0.666,-6.873,0.0363,0,0.433,0.625,185.378,187307,classic indonesian rock
Kotak,Never Dies,Inspirasi Sahabat,3kGkuEVwX0jrq5UcOTJOvu,0.711,0.716,-5.036,0.0417,4.24E-05,0.0523,0.662,134.996,181107,classic indonesian rock
Radja,Aku Ada Karena Kau Ada,Yakin,5jlkiUnz8PshqJP1Aodq2k,0.592,0.906,-6.678,0.153,0,0.0396,0.464,114.788,321921,dangdut
Ayu Ting Ting,Best of Ayu Ting Ting,Single Happy,7vgha1Le5pHGrJPep4lRde,0.577,0.947,-5.12,0.0614,0.000112,0.0705,0.842,185.044,216213,dangdut
Duo Anggrek,Cikini Gondangdia,Cikini Gondangdia - Roy. B Radio Edit Mix,1QWVO2hqp7YJGgQEeyhMiD,0.771,0.897,-5.827,0.046,0.0341,0.0117,0.961,129.995,237783,dangdut
ST12,Pangeran Cinta,Aku Padamu,0xEuyXyLO01LPLvkY4PCmK,0.303,0.767,-6.325,0.0468,2.25E-05,0.108,0.337,143.866,205080,dangdut
Wali,Cari Jodoh,Baik Baik Sayang,23Kv9sNtXPtcxJOgw1IfB7,0.58,0.507,-4.625,0.0269,0,0.652,0.228,124.999,252212,dangdut
Kunto Aji,Mantra Mantra,Konon Katanya,51pAZa68k4sQjkCGlOPqOn,0.71,0.705,-6.97,0.0625,1.11E-05,0.0527,0.584,119.972,187827,indonesian indie
Zaskia Gotik,Gotik,1000 Alasan,5Htx3GlNLvNo3Ssk5XuRKn,0.663,0.984,-5.149,0.035,0.00315,0.209,0.922,135.019,229178,dangdut
Dewa,Cintailah Cinta,Bukan Rahasia,4H8T2qE7F4nZzVIJoVmE7e,0.57,0.819,-6.201,0.0362,0,0.0347,0.637,129.939,271467,classic indonesian rock
Mocca,Lima,Teman Sejati,6r5SSeHNvTCoskbN1jAI7f,0.769,0.567,-6.512,0.0454,4.93E-05,0.684,0.863,122.309,270003,indonesian indie
Cita Citata,Goyang Dumang,Goyang Dumang,3Gyg7epCmGZkdhz74udgEG,0.751,0.759,-10.237,0.0447,0.0227,0.127,0.956,131.967,224182,dangdut
Kotak,Terbaik,Terbang,2yCjqjUOqVRWyXYl5GZ04w,0.582,0.908,-3.964,0.0574,0,0.321,0.67,106.076,204973,classic indonesian rock
Ayu Ting Ting,Alamat Palsu,Alamat Palsu,3gGOO9Y84eLdgi5FSSrQQp,0.58,0.842,-4.288,0.0348,4.40E-06,0.306,0.832,176.277,289416,dangdut
Dewa,Bintang Lima,Risalah Hati,0cc9lgdfHqeS8t9BzbFFmj,0.477,0.606,-6.758,0.0253,5.89E-06,0.143,0.515,75.183,292560,classic indonesian rock
Melinda,Ratu Funky,Ada Bayangmu - Wave Remix,4c8YoVfJdJpJlXhHxEcf5l,0.598,0.837,-5.832,0.031,0.028,0.151,0.746,159.947,196248,dangdut
Kunto Aji,Mantra Mantra,Topik Semalam,6sGp3EqWnvcyfN6AtjuFtq,0.647,0.443,-8.871,0.0362,1.89E-06,0.107,0.302,95.988,291907,indonesian indie
