artist,album,track_name,track_id,danceability,energy,loudness,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,genre
Astrid,Jadikan Aku Yang Ke 2,Jadikan Aku Yang Kedua,1nKxixMaGmgOcAgKxazYyc,0.702,0.621,-6.888,0.043,0.00717,0.167,0.458,127.968,251373,dangdut
Nella Kharisma,Sebelas Duabelas,Kau Tercipta Bukan Untukku,2q9f86CdlaXOr6vD3HJK6R,0.789,0.946,-6.939,0.0347,0.0111,0.276,0.963,128.027,261893,dangdut
Padi,Lain Dunia,Begitu Indah,0GI6KBji23F1191IABn0FL,0.379,0.525,-11.591,0.0409,0.536,0.109,0.234,167.879,308800,classic indonesian rock
Monita Tahalea,Dandelion,Memulai Kembali,3fkfiYZdDNi6PAWFaTxlGn,0.655,0.461,-9.693,0.0275,0.000337,0.0877,0.695,95.056,231061,indonesian indie
ST12,Pangeran Cinta,Setiaku,3XLGj7DEIHqzmdt4oiOdtG,0.538,0.486,-7.767,0.0267,1.06E-06,0.128,0.206,133.837,266853,dangdut
Kunto Aji,Mantra Mantra,Rehat,1BzMyhmPzYnGWK6RBF5TTj,0.327,0.252,-12.514,0.0314,0.213,0.145,0.0708,69.989,354480,indonesian indie
Siti Badriah,Satu Sama,Brondong Tua,5MP7B3BUu5AHuSmPaLjdwF,0.71,0.995,-3.056,0.0396,0.0119,0.29,0.82,135.007,221657,dangdut
Kunto Aji,Mantra Mantra,Sulung,7qo8kexwXhr3FwyHASzvvk,0.447,0.293,-12.716,0.0303,9.58E-05,0.21,0.314,104.871,113907,indonesian indie
Ayu Ting Ting,Geboy Mujair,Geboy Mujair,0JRNvctZ2gf5zHmaP0narJ,0.542,0.737,-9.121,0.0396,0.027,0.308,0.764,180.091,258267,dangdut
Slank,Get Married (Original Motion Picture Soundtrack),Kamu Harus Pulang,3opmyBWsff7Vdr5PUEMWuy,0.523,0.847,-7.23,0.0433,1.13E-05,0.74,0.569,105.364,371783,classic indonesian rock
Wali,Aku Bukan Bang Toyib,Doaku Untukmu Sayang,1a9EPfJDAf3Y7dDdkbpnqY,0.558,0.481,-6.497,0.0256,0,0.0881,0.386,129.97,226484,dangdut
Kotak,Energi (Repackaged),Selalu CInta,0GDxhBE0Sq0Dq8y4JE2SDC,0.583,0.46,-4.509,0.0295,0,0.112,0.312,134.173,283893,classic indonesian rock
Barasuara,Taifun,Mengunci Ingatan,1WYR1Amb1BSBFJ3YvxLvqS,0.538,0.896,-5.77,0.0369,0.2,0.214,0.276,84.465,270978,indonesian indie
Barasuara,Taifun,Tarintih,7Er2u9w8i48zxg5coXfs5T,0.464,0.687,-4.838,0.0296,0.00345,0.0869,0.235,140.008,281726,indonesian indie
Cokelat,Rasa Baru,Jauh,2iPgYGr2VMofVPy2j6E7G5,0.277,0.544,-9.028,0.0297,0.293,0.0573,0.156,82.067,327693,classic indonesian rock
Padi,Padi,Menanti Sebuah Jawaban,0ZiMNsLNdvq4KWSPBi71DK,0.582,0.742,-6.52,0.0517,0.0008,0.184,0.471,135.04,273670,classic indonesian rock
